Month,Balance,Amount of Payment
1,4862.5,Paid $200
1,4762.5,Paid $300
2,4723.28,Paid $200
2,4522.03,Paid $300
3,4582.32,Paid $200
3,4278.56,Paid $300
4,4439.6,Paid $200
4,4032.04,Paid $300
5,4295.1,Paid $200
5,3782.44,Paid $300
6,4148.79,Paid $200
6,3529.72,Paid $300
7,4000.64,Paid $200
7,3273.84,Paid $300
8,3850.65,Paid $200
8,3014.76,Paid $300
9,3698.79,Paid $200
9,2752.45,Paid $300
10,3545.02,Paid $200
10,2486.85,Paid $300
11,3389.33,Paid $200
11,2217.94,Paid $300
12,3231.7,Paid $200
12,1945.66,Paid $300
13,3072.1,Paid $200
13,1669.98,Paid $300
14,2910.5,Paid $200
14,1390.86,Paid $300
15,2746.88,Paid $200
15,1108.25,Paid $300
16,2581.21,Paid $200
16,822.1,Paid $300
17,2413.48,Paid $200
17,532.37,Paid $300
18,2243.65,Paid $200
18,239.03,Paid $300
19,2071.69,Paid $200
19,0,Paid $300
20,1897.59,Paid $200
21,1721.31,Paid $200
22,1542.83,Paid $200
23,1362.11,Paid $200
24,1179.14,Paid $200
25,993.88,Paid $200
26,806.3,Paid $200
27,616.38,Paid $200
28,424.08,Paid $200
29,229.39,Paid $200
30,32.25,Paid $200
31,0,Paid $200
